clip_id,priority,bv,url,title,source_type,why_candidate,download_status,downloaded_file_path,start_time,end_time,view_angle,full_body_visible,ball_visible,rim_visible,camera_stable,clip_status,notes,output_file_path
BILI_001_A,high,BV14u411J7qS,https://www.bilibili.com/video/BV14u411J7qS/,库里投篮全身的侧面和背面，固定镜头可以感受整体投篮发力的美感,pro_fixed_full_body,第一个视频第1段；库里侧面投篮,downloaded,E:\BasketballShotAI\raw\bilibili\库里投篮 全身的侧面和背面，固定镜头可以感受整体投篮发力的美感。搞不懂网上很多都是镜头随着球动看着又晕又无聊，投篮一闪而过球在空中旋转持续10秒钟哈哈哈哈\1-库里投篮 全身的侧面和背面，固定镜头可以感受整体投篮发力的美感。搞不懂网上很多都是镜头随着球动看着又晕又无聊，投篮一闪而过球在空中旋转持续10秒钟哈哈哈哈-360P 流畅-AVC.mp4,00:00:00.000,00:00:04.000,side,unknown,unknown,unknown,unknown,cut_done,库里；0-4秒；侧面,E:\BasketballShotAI\clips\bilibili\BILI_001_A_BV14u411J7qS.mp4
BILI_001_B,medium,BV14u411J7qS,https://www.bilibili.com/video/BV14u411J7qS/,库里投篮全身的侧面和背面，固定镜头可以感受整体投篮发力的美感,pro_fixed_full_body,第一个视频第2段；远景较多人,downloaded,E:\BasketballShotAI\raw\bilibili\库里投篮 全身的侧面和背面，固定镜头可以感受整体投篮发力的美感。搞不懂网上很多都是镜头随着球动看着又晕又无聊，投篮一闪而过球在空中旋转持续10秒钟哈哈哈哈\1-库里投篮 全身的侧面和背面，固定镜头可以感受整体投篮发力的美感。搞不懂网上很多都是镜头随着球动看着又晕又无聊，投篮一闪而过球在空中旋转持续10秒钟哈哈哈哈-360P 流畅-AVC.mp4,00:00:04.000,00:00:05.000,side,unknown,unknown,unknown,unknown,cut_done,库里；4-5秒；侧面；远景较多人；质量可能一般,E:\BasketballShotAI\clips\bilibili\BILI_001_B_BV14u411J7qS.mp4
BILI_001_C,medium,BV14u411J7qS,https://www.bilibili.com/video/BV14u411J7qS/,库里投篮全身的侧面和背面，固定镜头可以感受整体投篮发力的美感,pro_fixed_full_body,第一个视频第3段；初始有人物遮挡,downloaded,E:\BasketballShotAI\raw\bilibili\库里投篮 全身的侧面和背面，固定镜头可以感受整体投篮发力的美感。搞不懂网上很多都是镜头随着球动看着又晕又无聊，投篮一闪而过球在空中旋转持续10秒钟哈哈哈哈\1-库里投篮 全身的侧面和背面，固定镜头可以感受整体投篮发力的美感。搞不懂网上很多都是镜头随着球动看着又晕又无聊，投篮一闪而过球在空中旋转持续10秒钟哈哈哈哈-360P 流畅-AVC.mp4,00:00:07.000,00:00:09.000,side,unknown,unknown,unknown,unknown,cut_done,库里；7-9秒；侧面；初始有人物遮挡,E:\BasketballShotAI\clips\bilibili\BILI_001_C_BV14u411J7qS.mp4
BILI_002_A,high,BV16u411e7Bn,https://www.bilibili.com/video/BV16u411e7Bn/,普通人也能像库里一样轻松投篮！再次解读投篮转腕发力,coach_analysis_amateur,第二个视频；后面偏侧面,downloaded,E:\BasketballShotAI\raw\bilibili\普通人也能像库里一样轻松投篮！再次解读投篮转腕发力\1-普通人也能像库里一样轻松投篮！再次解读投篮转腕发力-360P 流畅-AVC.mp4,00:00:18.000,00:00:22.000,back-side,unknown,unknown,unknown,unknown,cut_done,库里；18-22秒；后面偏侧面,E:\BasketballShotAI\clips\bilibili\BILI_002_A_BV16u411e7Bn.mp4
BILI_003_A,high,BV1d84y1G7zq,https://www.bilibili.com/video/BV1d84y1G7zq/,自学库里罚球慢动作赏析合球点至出手点上半身投篮手右侧方视角,pro_slow_motion_detail,第三个视频；上半身侧面,downloaded,E:\BasketballShotAI\raw\bilibili\自学库里罚球慢动作赏析合球点至出手点上半身投篮手右侧方视角\1-自学库里罚球慢动作赏析合球点至出手点上半身投篮手右侧方视角-360P 流畅-AVC.mp4,00:00:18.000,end,side-upper-body,no,unknown,unknown,unknown,cut_done,库里；18秒到视频结束；上半身侧面,E:\BasketballShotAI\clips\bilibili\BILI_003_A_BV1d84y1G7zq.mp4
BILI_004_A,high,BV1og4y1o7Ni,https://www.bilibili.com/video/BV1og4y1o7Ni/,库里运球衔接投篮慢动作赏析投篮手侧后方视角,pro_slow_motion_off_dribble,第四个视频；后方偏侧面,downloaded,E:\BasketballShotAI\raw\bilibili\库里运球衔接投篮慢动作赏析投篮手侧后方视角\1-库里运球衔接投篮慢动作赏析投篮手侧后方视角-360P 流畅-AVC.mp4,00:00:08.000,end,back-side,unknown,unknown,unknown,unknown,cut_done,库里；后方偏侧面；8秒到视频结束,E:\BasketballShotAI\clips\bilibili\BILI_004_A_BV1og4y1o7Ni.mp4
BILI_005_A,high,BV1Re4y1K7Ey,https://www.bilibili.com/video/BV1Re4y1K7Ey,自用库里完整罚球慢动作赏析投篮手侧后方视角,pro_free_throw_slow_motion,第五个视频；库里侧面,downloaded,E:\BasketballShotAI\raw\bilibili\自用库里完整罚球慢动作赏析投篮手侧后方视角\1-自用库里完整罚球慢动作赏析投篮手侧后方视角-480P 标清-AVC.mp4,00:00:15.000,00:00:30.000,side,unknown,unknown,unknown,unknown,cut_done,库里侧面；15-30秒,E:\BasketballShotAI\clips\bilibili\BILI_005_A_BV1Re4y1K7Ey.mp4
BILI_006_A,high,BV1mP411q7je,https://www.bilibili.com/video/BV1mP411q7je,利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角,pro_slow_motion_dual_view,第六个视频第1段；利拉德侧面,downloaded,E:\BasketballShotAI\raw\bilibili\利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角\1-利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角-480P 标清-AVC.mp4,00:00:10.000,00:00:16.000,side,unknown,unknown,unknown,unknown,cut_done,利拉德；10-16秒；侧面,E:\BasketballShotAI\clips\bilibili\BILI_006_A_BV1mP411q7je.mp4
BILI_006_B,high,BV1mP411q7je,https://www.bilibili.com/video/BV1mP411q7je,利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角,pro_slow_motion_dual_view,第六个视频第2段；利拉德后方偏侧面,downloaded,E:\BasketballShotAI\raw\bilibili\利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角\1-利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角-480P 标清-AVC.mp4,00:00:16.000,00:00:20.000,back-side,unknown,unknown,unknown,unknown,cut_done,利拉德；16-20秒；后方偏侧面,E:\BasketballShotAI\clips\bilibili\BILI_006_B_BV1mP411q7je.mp4
BILI_006_C,high,BV1mP411q7je,https://www.bilibili.com/video/BV1mP411q7je,利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角,pro_slow_motion_dual_view,第六个视频第3段；利拉德后方偏侧面,downloaded,E:\BasketballShotAI\raw\bilibili\利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角\1-利拉德三分投篮慢动作合球手部细节与双脚身体重心分配细节双视角-480P 标清-AVC.mp4,00:00:22.000,end,back-side,unknown,unknown,unknown,unknown,cut_done,利拉德；22秒到视频结束；后方偏侧面,E:\BasketballShotAI\clips\bilibili\BILI_006_C_BV1mP411q7je.mp4
BILI_007_SKIP,low,BV17P4y1374G,https://www.bilibili.com/video/BV17P4y1374G/,科比乔丹都在用的投篮姿势！two motion投篮第一部：投篮姿势,coach_analysis_two_motion,第七个视频；用户决定不要,skip,,,,,unknown,unknown,unknown,unknown,skip,用户标记：不要这个,
BILI_008_A,medium,BV1co4y1J7Zs,https://www.bilibili.com/video/BV1co4y1J7Zs/,之前没注意，原来米尔斯的投篮姿势也这么好看,pro_style_reference,第八个视频；米尔斯后方,downloaded,E:\BasketballShotAI\raw\bilibili\之前没注意，原来米尔斯的投篮姿势也这么好看#篮球教学 #每天学一招\1-之前没注意，原来米尔斯的投篮姿势也这么好看#篮球教学 #每天学一招-480P 标清-AVC.mp4,00:00:01.000,end,back,unknown,unknown,unknown,unknown,cut_done,米尔斯；1秒到视频结束；后方,E:\BasketballShotAI\clips\bilibili\BILI_008_A_BV1co4y1J7Zs.mp4
BILI_009_SKIP,low,BV1PM4m117DH,https://www.bilibili.com/video/BV1PM4m117DH/,Curry 库里投篮慢动作｜极其流畅的一段式投篮,pro_slow_motion_style,第九个视频；用户决定不要,skip,,,,,unknown,unknown,unknown,unknown,skip,用户标记：不要这个,
BILI_010_A,medium,BV1hK6WYtEDP,https://www.bilibili.com/video/BV1hK6WYtEDP/,库里投篮姿势对比布克投篮姿势，你更喜欢谁？,pro_comparison,第十个视频第1段；库里后方,downloaded,E:\BasketballShotAI\raw\bilibili\库里投篮姿势对比布克投篮姿势，你更喜欢谁？\1-库里投篮姿势对比布克投篮姿势，你更喜欢谁？-480P 标清-AVC.mp4,00:00:28.000,00:00:31.000,back,unknown,unknown,unknown,unknown,cut_done,库里；28-31秒；后方,E:\BasketballShotAI\clips\bilibili\BILI_010_A_BV1hK6WYtEDP.mp4
BILI_010_B,medium,BV1hK6WYtEDP,https://www.bilibili.com/video/BV1hK6WYtEDP/,库里投篮姿势对比布克投篮姿势，你更喜欢谁？,pro_comparison,第十个视频第2段；布克后方,downloaded,E:\BasketballShotAI\raw\bilibili\库里投篮姿势对比布克投篮姿势，你更喜欢谁？\1-库里投篮姿势对比布克投篮姿势，你更喜欢谁？-480P 标清-AVC.mp4,00:00:58.000,00:01:01.000,back,unknown,unknown,unknown,unknown,cut_done,布克；58秒-1分01秒；后方,E:\BasketballShotAI\clips\bilibili\BILI_010_B_BV1hK6WYtEDP.mp4
BILI_010_C,low,BV1hK6WYtEDP,https://www.bilibili.com/video/BV1hK6WYtEDP/,库里投篮姿势对比布克投篮姿势，你更喜欢谁？,pro_comparison,第十个视频第3段；库里侧面但人多,downloaded,E:\BasketballShotAI\raw\bilibili\库里投篮姿势对比布克投篮姿势，你更喜欢谁？\1-库里投篮姿势对比布克投篮姿势，你更喜欢谁？-480P 标清-AVC.mp4,00:01:38.000,00:01:40.000,side,unknown,unknown,unknown,unknown,cut_done,库里；1分38秒-1分40秒；侧面；人多,E:\BasketballShotAI\clips\bilibili\BILI_010_C_BV1hK6WYtEDP.mp4
BILI_010_D,medium,BV1hK6WYtEDP,https://www.bilibili.com/video/BV1hK6WYtEDP/,库里投篮姿势对比布克投篮姿势，你更喜欢谁？,pro_comparison,第十个视频第4段；库里侧面,downloaded,E:\BasketballShotAI\raw\bilibili\库里投篮姿势对比布克投篮姿势，你更喜欢谁？\1-库里投篮姿势对比布克投篮姿势，你更喜欢谁？-480P 标清-AVC.mp4,00:01:42.000,00:01:46.000,side,unknown,unknown,unknown,unknown,cut_done,库里；1分42秒-1分46秒；侧面,E:\BasketballShotAI\clips\bilibili\BILI_010_D_BV1hK6WYtEDP.mp4
BILI_011_SKIP,low,BV1T44y1c7gt,https://www.bilibili.com/video/BV1T44y1c7gt/,投篮练习的视觉错误,coach_error_analysis,第十一个视频；用户决定不要,skip,,,,,unknown,unknown,unknown,unknown,skip,用户标记：不要这个,
BILI_012_SKIP,low,BV1Jy4y1v7wm,https://www.bilibili.com/video/BV1Jy4y1v7wm/,库里投篮慢动作,pro_slow_motion_style,第十二个视频；用户决定不要,skip,,,,,unknown,unknown,unknown,unknown,skip,用户标记：不要这个,
