platform,url,title,source_type,expected_value,license_status,priority,notes,download_status
YouTube,https://www.youtube.com/watch?v=AzfvoADI4EQ,Basketball shooting form Side View,amateur_side_view,side-view shooting form; likely close to fixed-camera form analysis,unknown,high,Good candidate for first manual inspection because title directly says side view,not_downloaded
YouTube,https://www.youtube.com/watch?v=UcnB9e5O5NY,The Ultimate Guide for Shooting the Basketball,coach_tutorial,coach demonstration and shooting-form breakdown,unknown,high,Useful for extracting demonstration clips and checklist language,not_downloaded
YouTube,https://www.youtube.com/watch?v=TI5MeQuMWqA,How do you make the perfect free throw,science_sports_free_throw,free throw mechanics with controlled demonstration,unknown,high,University of Richmond science/sports video; likely stable educational footage,not_downloaded
YouTube,https://www.youtube.com/watch?v=8-7JVqPlUJ4,Shoot with great form,pro_player_tutorial,Klay Thompson shooting consistency tutorial,unknown,medium,Potentially valuable but may be edited instruction rather than raw full-body reps,not_downloaded
YouTube,https://www.youtube.com/watch?v=qh9Ko-Wi9JQ,Steph Curry Complete Shooting Form Breakdown,pro_breakdown,full shooting mechanics breakdown,unknown,medium,Good for style-reference module and report wording,not_downloaded
YouTube,https://www.youtube.com/watch?v=pDyVswKI2iA,Shooting a Basketball in SUPER Slow Motion,slow_motion,high-speed shooting footage,unknown,medium,Great for release/hand/ball rotation reference; may not show full body every frame,not_downloaded
YouTube,https://www.youtube.com/watch?v=3--urvppqtU,The Perfect Shooting Form,coach_analysis,modern shooting-form discussion,unknown,medium,Useful for concept extraction and visual examples,not_downloaded
YouTube,https://www.youtube.com/watch?v=JqR-SLQDMwI,The Shot Doctor How to Fix Bad Shooting Form,coach_fixing,common shooting-form errors and fixes,unknown,high,Potentially useful because our product also needs error diagnosis,not_downloaded
YouTube,https://www.youtube.com/watch?v=nDMDOZW6rPs,How to Shoot like Stephen Curry Shooting Form Blueprint,coach_tutorial,shooting form blueprint and player-style reference,unknown,medium,Useful for style matching; check if footage is clear and full-body,not_downloaded
YouTube,https://www.youtube.com/watch?v=x7anDE7OEww,How to Find YOUR Perfect Shooting Form,coach_tutorial,personalized form explanation,unknown,medium,Useful for product-language reference and possible demo clips,not_downloaded
YouTube,https://www.youtube.com/watch?v=wHttB4GY9UY,NBA Shooting Coach Dave Love,coach_tutorial,front and side perspective coaching,unknown,high,Search result mentions side view and front view; good candidate for two-angle examples,not_downloaded
YouTube,https://www.youtube.com/watch?v=BjPdrw7F5HI,How to Shoot 90 Percent from the Free Throw Line,coach_tutorial,free-throw form and routine,unknown,medium,Could provide stable free-throw clips,not_downloaded
YouTube,https://www.youtube.com/watch?v=Krl14XmWs5I,Basketball Skills Free Throw Technique by Paul George,pro_player_tutorial,free-throw technique with NBA player,unknown,medium,Good controlled free-throw candidate if full body is visible,not_downloaded
YouTube,https://www.youtube.com/watch?v=ZA0QP9fRjBE,Gordon Hayward Basketball Free Throw Shooting,pro_player_tutorial,free-throw technique,unknown,medium,May be useful for controlled free-throw posture clips,not_downloaded
YouTube,https://www.youtube.com/watch?v=i_CA8GxKF_M,Queens Of Hoops Drill Diana Taurasi free throws,pro_player_tutorial,free-throw demonstration,unknown,medium,Older FIBA/coaching style footage; inspect quality first,not_downloaded
YouTube,https://www.youtube.com/watch?v=RMuKYomvmLo,Stephen Curry Shooting Form Slow Motion 2022 Part 5,pro_slow_motion,pro shooting slow motion,unknown,medium,Style-reference candidate; likely not enough for amateur full-body correction alone,not_downloaded
YouTube,https://www.youtube.com/watch?v=aDkY4ln0NBY,Sabrina Ionescu Shooting Form Slow Motion Part 1,pro_slow_motion,pro shooting slow motion,unknown,medium,Useful to diversify style references beyond male NBA players,not_downloaded
YouTube,https://www.youtube.com/watch?v=dizDXOR-Seo,Duncan Robinson Shooting Form Slow Motion Part 1,pro_slow_motion,pro shooting slow motion,unknown,medium,Good shooter-style reference; inspect full-body visibility,not_downloaded
YouTube,https://www.youtube.com/watch?v=nl5nGz0Hni4,James Harden Slow Motion Shooting Compilation,pro_slow_motion,slow-motion shooting compilation,unknown,low,Useful for style reference but may be game footage and not fixed camera,not_downloaded
Bilibili,https://www.bilibili.com/video/BV14u411J7qS/,库里投篮全身的侧面和背面，固定镜头可以感受整体投篮发力的美感,pro_slow_motion_fixed,full-body side/back fixed-camera Curry shooting,unknown,high,This is very close to the requested visual pattern; manually inspect first,not_downloaded
Bilibili,https://www.bilibili.com/video/BV16u411e7Bn/,普通人也能像库里一样轻松投篮！再次解读投篮转腕发力,coach_analysis,Chinese shooting-form analysis with amateur/pro comparison,unknown,high,Useful because it discusses amateur correction and upper-body mechanics,not_downloaded
Bilibili,https://www.bilibili.com/video/BV17P4y1374G/,科比乔丹都在用的投篮姿势！two motion投篮第一部：投篮姿势,coach_analysis,Chinese two-motion shooting-form explanation,unknown,medium,May be useful for report language and examples; uploader notes reposted from internet,not_downloaded
Bilibili,https://www.bilibili.com/video/BV1Re4y1K7Ey,自用库里完整罚球慢动作赏析投篮手侧后方视角,pro_slow_motion,free-throw slow motion hand-side/back angle,unknown,medium,Good for free-throw style reference; inspect whether full body is visible,not_downloaded
Bilibili,https://www.bilibili.com/video/BV1og4y1o7Ni/,库里运球衔接投篮慢动作赏析投篮手侧后方视角,pro_slow_motion,dribble-to-shot slow motion,unknown,medium,Useful later for off-dribble shot phase detection,not_downloaded
Bilibili,https://www.bilibili.com/video/BV1co4y1J7Zs/,之前没注意，原来米尔斯的投篮姿势也这么好看,pro_slow_motion,Patty Mills shooting-form appreciation,unknown,low,Style reference candidate; likely not core MVP data,not_downloaded
Bilibili,https://search.bilibili.com/all?keyword=%E7%AF%AE%E7%90%83%E6%8A%95%E7%AF%AE%E6%8A%80%E5%B7%A7,篮球投篮技巧搜索页,search_page,continuous source discovery for Chinese coaching videos,n/a,high,Use this to keep expanding candidate pool manually,not_downloaded
Bilibili,https://search.bilibili.com/all?keyword=%E6%8A%95%E7%AF%AE%E6%95%88%E6%9E%9C,投篮效果搜索页,search_page,source discovery for side-angle and form clips,n/a,medium,Search result includes side-view shooting clips,not_downloaded
NBA Jr,https://jr.nba.com/video/practice-the-shooting-proper-form/,Practice the Shooting Proper Form,official_coaching,official Jr NBA coaching video,unknown,medium,Good official reference for youth coaching language; inspect video access,not_downloaded
University of Richmond,https://urnow.richmond.edu/video/article/-/22748/the-perfect-free-throw-shot.html,The perfect free throw shot,science_sports_free_throw,free-throw science and controlled demonstration,unknown,high,More stable source than random reposts; useful for first curated references,not_downloaded
Getty Images,https://www.gettyimages.com/videos/shooting-basketball-side,Shooting Basketball Side Stock Videos,stock_video,licensed side-view basketball shooting clips,paid_license,medium,Not for free training, but useful benchmark for what paid clean footage looks like,not_downloaded
